,Amount (INR),Day,Hour,Minute,Sender,Receiver
83479,1608.58,29,15,6,0,0
388415,4363.918991575267,2,15,41,0,0
178311,819.36,3,0,5,0,0
363367,4827.050937344391,8,18,49,0,0
395866,1851.5934210364842,6,18,50,0,0
146027,227.88,29,5,33,0,0
249293,3398.57,25,1,25,0,0
200504,7523.31,7,2,31,0,0
56231,3272.12,24,3,33,0,0
281317,7884.57,16,16,9,0,0
376504,9651.218982735176,8,6,13,0,0
360442,136.50598130356911,29,20,54,0,0
85487,201.22,15,6,8,0,0
387678,2580.7616388665997,23,11,57,0,0
299620,9018.82,21,12,46,0,0
65116,7716.91,8,2,25,0,0
313706,7948.721967901884,4,5,31,0,1
204499,9501.87,17,22,39,0,0
84299,1103.51,4,15,28,2,0
347001,9646.76205776607,22,15,8,0,0
397160,478.3737115358155,16,8,55,0,0
102513,9937.62,4,21,57,0,0
455208,9525.124338739612,4,4,23,0,0
107974,4066.26,28,15,33,0,0
367674,7456.592364650849,11,20,28,0,0
304985,9903.587602885043,10,20,48,0,0
49275,6954.61,26,0,48,0,0
19370,1989.88,7,21,27,0,0
227119,2700.85,14,19,48,0,0
459023,8390.96928466014,19,4,35,0,0
108455,319.03,1,4,18,0,4
103272,902.63,14,17,58,1,0
422215,8610.063204667182,9,9,25,0,0
312234,4363.418205531194,19,4,47,0,0
430462,3234.0004783300824,10,20,48,0,0
326025,7421.017795130463,26,21,44,0,0
381090,8021.801110151107,18,2,16,0,0
366048,4753.459206312238,15,11,52,0,0
93881,2742.75,17,14,14,0,0
174503,10044.88,25,15,14,0,0
92752,9582.33,9,23,37,2,0
91768,5070.65,14,12,14,0,0
402979,8261.67943571204,1,17,52,0,0
415213,4960.962373796983,12,2,26,0,0
37921,4687.8,13,8,49,0,0
17267,9904.15,13,23,55,0,0
85106,3294.37,17,0,48,0,0
286661,2481.93,10,11,56,0,0
238316,2713.87,22,12,38,0,0
199895,5694.44,18,10,1,0,0
341558,9284.27860372001,6,11,56,0,0
31995,390.73,9,10,25,0,0
310476,6380.372273151795,10,13,46,0,0
92767,603.58,18,17,17,0,0
291796,1666.18,19,3,42,0,0
328487,932.4626940361851,3,17,56,0,0
210504,5581.63,15,12,25,1,0
393951,1501.5498047363085,20,20,45,0,0
415865,5828.0626866316525,5,12,8,0,0
371073,9118.214696876492,13,16,33,0,0
294959,519.17,25,19,0,1,0
4098,6612.53,31,3,57,0,0
220543,6349.47,17,15,36,0,0
82756,1439.18,12,22,42,0,0
338924,7112.893357270926,8,14,12,0,0
153609,6321.54,1,10,36,0,0
286958,4512.66,20,11,20,0,0
134066,9324.59,6,11,5,0,0
220608,6927.21,19,19,27,0,0
106,6968.38,6,13,31,0,0
305004,4945.949129722603,17,11,49,0,0
354617,2812.4339903540344,9,4,3,2,0
289552,7675.79,5,18,21,0,0
412160,4880.413806457165,17,11,49,0,0
439388,3080.612941775501,15,21,33,0,0
86909,8036.05,10,13,34,0,0
242277,4685.62,17,22,28,0,0
301225,8179.1352584810365,13,18,41,0,0
47183,2419.8,24,20,9,0,0
222334,8259.45,9,23,17,2,0
377232,3046.9970669118884,8,7,0,0,0
223070,355.94,21,3,56,0,0
431985,357.2136842745775,19,15,35,0,0
102325,7703.06,6,9,30,0,0
136974,2438.53,19,14,57,0,4
422583,5666.263890575456,23,13,40,0,0
173150,640.44,27,18,36,0,0
22162,8970.25,11,20,49,0,0
185561,6352.53,14,3,31,0,0
20162,2026.64,6,13,52,0,0
161690,1255.19,1,23,41,0,0
390998,3867.646265278873,8,18,11,0,0
385691,7302.541061267054,16,4,48,0,1
80957,8606.09,6,4,22,0,0
310897,1357.2762793694542,5,5,3,0,0
193512,616.31,9,16,39,0,0
36377,8511.64,13,21,30,0,0
389186,8005.778371973517,8,6,56,0,0
441400,7059.46859902064,4,6,32,0,0
197981,1973.77,6,13,6,0,0
236452,5033.03,4,22,14,0,0
273739,9157.01,23,12,23,0,0
390392,8180.131953801534,6,13,1,0,0
414284,4824.852034434333,9,13,4,0,0
262328,1499.39,8,9,0,0,0
436330,6109.066418399947,18,19,51,0,0
183972,7543.11,12,0,10,0,0
378408,5252.18925205543,4,11,19,0,0
323527,5218.296197291529,21,16,48,0,0
368080,9533.503251731796,10,20,12,0,0
444188,9688.079423096648,9,4,41,0,0
328635,3470.228921085967,16,19,48,0,0
18153,9217.96,9,13,32,0,0
215337,5156.42,17,2,48,0,0
455637,1501.5018489302004,23,11,54,0,0
106250,8295.69,29,4,34,0,0
17691,9716.47,15,23,9,0,0
75170,2577.07,18,5,34,0,0
56391,2851.62,28,21,9,0,4
97925,4655.24,16,16,15,0,0
166162,1729.44,28,7,49,0,4
28781,7814.51,2,0,30,0,0
420815,6828.190142439679,25,3,13,0,2
442994,3538.3093418422477,3,15,43,0,0
29614,8898.79,30,22,50,0,0
6704,3344.62,2,6,9,0,0
146818,1502.26,28,12,22,0,0
113419,8135.82,2,8,32,0,0
297164,2117.04,21,12,45,0,0
409426,4088.7684356381938,7,5,22,0,0
318424,8349.598949799401,16,5,6,0,0
326121,9269.418372829381,26,11,37,0,0
353398,8120.146709241856,21,9,18,0,0
234928,9266.54,20,21,33,0,4
116009,6939.88,9,7,41,0,0
444196,4388.456424947806,1,21,4,0,0
444711,3717.9448356820863,22,8,42,0,0
162940,4117.73,2,23,0,0,0
413344,852.0068130145694,23,3,18,0,0
264672,115.3,13,8,44,0,0
133892,4391.26,29,23,23,0,0
300949,123.95999229791921,24,20,16,0,0
78840,9261.84,5,0,44,0,0
144104,3167.22,6,6,1,0,3
40355,5367.01,30,9,46,0,0
130068,1038.38,2,3,3,0,0
402705,6447.187519500746,11,11,3,0,0
344497,2395.82154145775,7,18,35,0,0
36829,8320.54,24,17,15,0,0
325836,3750.874359071835,19,22,54,0,0
146852,10035.75,5,14,48,0,2
138589,5234.4,8,17,17,0,0
423138,5833.582965984472,7,19,9,0,0
282893,1657.48,11,5,30,0,0
155009,1304.77,24,19,3,0,0
141061,5650.48,8,3,51,0,0
115450,7921.3,4,14,36,0,0
353268,4595.917874437695,8,21,1,0,0
157850,7240.12,4,5,49,0,0
122022,6475.86,3,14,32,0,0
30490,6135.96,22,7,44,0,0
119899,996.52,10,19,52,0,0
115930,4616.58,11,4,43,0,0
243260,7558.21,4,20,39,0,0
106660,3806.05,31,15,11,0,0
116173,7531.68,30,20,5,0,0
413774,8566.577951891548,17,3,8,0,0
441806,835.9347516924201,14,4,55,0,1
347007,609.7141007175562,16,17,18,0,0
417675,8311.63981069607,23,15,53,0,0
137213,5018.74,7,3,18,0,0
58118,6681.08,20,4,34,0,0
247292,621.02,23,5,52,0,0
245255,9964.5,22,11,48,0,0
24573,5663.68,25,22,24,0,0
153974,7886.78,6,19,10,0,0
238217,3911.64,18,2,39,0,0
185864,6827.54,30,5,46,0,0
337944,7829.769148527928,24,5,53,0,0
182389,5099.39,8,23,26,4,0
220507,4645.28,4,23,7,0,0
8489,441.53,13,8,50,0,0
115534,5471.16,3,9,32,0,0
384152,605.3845638476864,27,5,5,0,0
142164,6478.24,8,1,50,0,4
102294,3575.77,7,5,14,0,0
9454,4655.44,17,20,5,0,0
449170,5009.363953552621,5,2,19,0,0
418773,961.4301023575462,23,17,30,0,0
334605,1789.5086436752918,26,13,20,0,0
114071,9330.97,12,5,20,0,0
230357,5872.28,12,15,48,0,0
15204,8131.13,27,20,8,0,0
148251,8521.71,11,16,26,0,0
196099,2196.54,27,5,32,0,0
449637,1550.5243940884848,12,6,46,0,0
42657,5275.21,3,14,24,0,0
265183,165.8,4,6,57,0,0
428270,1432.9175130361668,10,20,38,0,0
246770,7903.03,16,11,4,0,0
184864,5258.46,15,3,12,0,0
303937,8344.755791124568,23,9,28,0,0
42781,1546.47,6,19,31,0,0
73050,6768.75,29,11,45,0,0
293601,6750.15,16,14,34,0,0
175844,2703.82,10,17,6,0,0
167019,1575.62,3,15,21,0,0
138625,4165.27,6,15,38,0,0
413670,4042.1869180366007,5,14,24,0,0
161193,3303.57,21,12,34,0,0
376626,1362.2833368601707,16,9,9,0,0
333123,4095.8367064973445,10,20,15,0,0
388548,332.8208818190325,14,7,54,0,0
310675,8057.255019231606,4,21,35,0,1
417091,1092.8151742967711,29,3,6,0,0
265201,367.19,12,13,52,0,2
272180,2274.02,7,10,50,0,0
175949,7294.27,13,5,20,4,0
291877,2527.11,1,15,18,0,0
221053,5016.01,22,8,41,0,0
101749,8431.36,8,4,27,0,0
302956,1179.8396867303882,22,12,28,0,0
279769,4636.79,21,3,54,0,0
398382,6852.774110468938,6,16,4,1,1
253594,3584.14,18,12,4,0,0
51492,2945.9,2,14,45,0,1
386125,9287.263027618352,12,18,34,0,0
419678,9931.116350818676,23,15,3,0,0
417178,8533.119352053762,22,12,19,0,1
99942,4134.2,11,2,8,0,0
330402,7421.261418048429,3,13,27,1,0
267117,1497.11,30,11,48,0,2
286280,6871.84,26,18,24,0,0
102655,8613.3,2,16,57,0,0
390650,4374.511210685154,8,2,8,0,0
120325,313.73,8,13,37,0,0
208035,6637.62,26,6,55,0,0
227820,3476.96,3,23,39,0,0
311446,6113.128830119779,25,6,33,0,0
286755,5779.38,11,9,11,0,3
434223,537.0739625560632,13,6,57,0,0
163402,5898.29,13,4,53,0,0
390077,3089.9593984781195,22,3,2,0,0
335013,1791.5910991323956,10,3,17,3,0
86919,3409.21,8,9,57,0,0
335820,5311.41557207417,24,18,28,0,0
333635,5679.165353024674,21,21,48,0,0
169206,8139.43,1,8,43,0,0
266965,7306.85,9,20,4,0,0
214378,3639.74,7,17,57,0,0
112650,6768.46,20,20,35,3,0
261530,4399.11,28,17,52,0,0
393923,7990.91103057193,18,21,7,0,0
288813,471.31,5,10,42,0,0
131002,2667.29,3,6,27,0,0
12174,585.65,31,14,14,3,0
191666,8308.85,4,23,8,0,0
428760,5477.309713112953,4,13,12,0,0
57885,5597.59,8,18,49,0,1
169214,5567.54,7,10,57,0,0
9566,5695.26,19,22,54,3,2
72202,2437.4,2,11,12,0,0
86496,1722.55,3,19,52,0,0
292328,5658.67,1,1,51,0,0
28206,7802.82,19,1,38,0,0
360718,3578.5424847400977,2,6,29,0,0
247571,2245.84,23,5,7,0,0
2501,10007.8,6,19,20,0,0
187827,3378.24,31,2,21,0,0
306322,1737.5670929959056,23,17,26,0,0
328152,5624.893598563137,15,18,42,0,0
208538,398.75,22,0,59,0,0
242438,492.16,10,13,14,0,0
51385,10405.11,23,1,36,0,0
269058,6063.11,20,8,38,0,0
142441,8966.11,22,18,52,0,0
280203,4741.26,8,12,15,2,0
287442,6879.64,1,11,42,0,0
448380,7850.49593948568,1,5,1,0,0
20147,6986.73,8,23,36,0,0
209450,3459.04,11,18,17,0,0
423481,1221.458285906332,25,19,43,0,0
174363,2678.6,23,12,25,0,0
20538,9395.12,6,3,9,0,0
44173,8502.69,24,16,29,0,0
13757,1623.07,26,15,5,0,0
100371,1380.05,4,23,39,0,3
443589,6041.274514892387,1,21,40,0,0
76605,8148.25,16,14,45,0,0
154823,7930.34,16,10,53,0,0
404660,6261.878630199599,14,6,7,0,0
398804,3710.031991519651,25,19,55,0,0
437692,4284.47862305473,8,20,37,0,0
319609,6781.4636953338895,19,10,41,0,0
440227,5659.332284796059,7,8,56,0,0
134215,3485.15,25,8,16,0,0
212468,3155.37,8,10,46,0,0
102069,7929.88,4,3,6,0,0
172372,4980.27,14,1,11,0,0
149713,8251.42,14,14,24,0,0
82160,9177.37,26,16,49,0,0
370752,207.78650036544042,11,18,12,0,0
68098,2942.12,9,3,20,0,0
251572,7013.23,26,18,22,4,2
309725,3188.171099851195,10,22,40,0,1
68957,2104.18,10,3,51,0,0
139966,9215.5,26,19,28,0,0
248680,5657.43,9,9,13,0,3
70359,8448.27,4,20,25,0,0
101810,235.99,29,5,33,0,0
165827,1122.3,20,20,48,0,0
415950,815.9699342171078,2,9,46,2,0
359284,5703.29885995776,24,7,24,0,0
7047,9729.04,10,3,10,0,0
402952,7910.662011038122,13,15,27,3,0
145497,2420.48,22,3,37,0,0
361244,6363.967124021331,29,2,23,0,0
183812,8069.18,31,21,15,0,0
228893,9879.68,18,9,10,0,0
408967,9425.33600444962,27,13,26,0,0
382984,415.29407802960645,1,16,20,0,0
12860,710.72,19,3,12,2,0
142872,3463.46,17,18,36,0,0
137873,112.17,9,7,7,0,0
272400,3406.45,21,9,22,0,0
157036,6266.14,27,13,10,0,0
346200,2979.2685201715535,9,2,48,0,0
4866,8837.52,5,0,1,0,0
173996,8330.23,11,13,7,0,0
69774,8673.81,14,21,52,0,0
240180,9293.22,13,6,44,0,0
163479,7576.64,1,22,0,0,0
171196,8672.88,14,23,15,0,0
234529,8643.41,16,8,50,0,0
241189,7058.34,1,2,33,0,0
124568,3116.29,7,10,18,0,2
379304,3845.8174367276806,3,19,17,0,0
216286,7243.24,8,11,30,0,0
86079,4529.18,8,10,35,0,0
297340,7384.71,20,12,36,0,0
451071,8924.34380195592,14,7,15,0,0
212682,579.87,13,10,43,1,0
161481,7066.04,3,21,56,0,0
411432,4991.927325081801,5,3,12,0,0
440071,2488.192266217445,24,7,41,0,1
86096,9338.7,4,19,5,3,1
218288,2162.37,20,21,17,0,0
11525,9151.99,27,22,30,0,0
402971,8901.793560657368,19,22,3,0,0
423041,523.2223247456384,3,0,27,0,0
156621,10088.05,23,11,51,0,0
199431,9880.0,18,5,49,0,0
23944,6835.43,28,15,19,0,2
112798,2337.82,1,7,58,0,0
266893,8534.33,6,20,14,0,0
272226,165.17,9,5,25,0,0
174269,7224.69,23,5,48,0,0
188249,8121.4,20,15,5,0,0
214502,1859.59,13,16,59,0,0
321999,9574.178279469204,7,4,56,0,0
331458,8342.518644471445,11,15,17,0,0
176596,6078.1,18,21,57,0,0
26669,3296.42,4,15,43,0,1
8982,8287.04,30,23,4,0,0
113734,7916.82,27,21,48,0,0
227543,3900.08,13,10,57,0,0
268520,7858.87,8,17,6,0,0
244959,1360.73,5,21,10,0,0
200650,813.54,11,8,29,3,0
422313,1615.0927909933812,29,20,41,0,0
73475,503.96,3,9,53,0,0
455324,3512.2912509400862,5,9,6,0,0
423889,3081.354967925049,29,11,9,2,0
428757,2431.8947721061,18,1,5,0,0
184672,8609.43,1,4,3,0,0
386953,1848.0673056574897,8,4,27,0,0
415111,7334.767320694022,20,4,16,0,0
338751,5307.683422429389,25,10,56,0,0
4233,5689.33,10,19,44,4,0
442888,7218.555351704213,23,3,38,0,0
352963,4990.58852249852,18,4,27,1,0
221766,4566.6,26,8,25,0,0
195851,463.96,6,4,40,0,0
329535,7157.990656651032,14,16,5,0,0
193064,2773.66,30,8,43,0,0
347284,4548.921111703713,20,11,41,0,0
63480,3036.35,10,23,40,0,2
182045,9660.93,17,1,12,0,0
261752,405.3,24,10,5,0,0
286150,7681.03,3,7,28,0,0
230909,1919.81,23,22,36,0,0
23979,912.07,3,20,49,0,0
406963,3019.997198855213,3,20,33,0,0
138259,6015.04,5,4,48,0,0
112639,3972.37,1,16,11,0,0
365815,276.2932550870494,4,19,40,0,0
437956,5596.771759499193,28,9,38,0,0
164325,443.38,14,9,5,0,0
210441,8669.55,24,14,40,0,0
321503,7981.263245753272,16,12,47,0,0
154966,3909.56,13,4,13,0,0
376978,7745.244279585577,12,4,30,0,0
262260,3471.55,29,16,36,0,0
121409,170.74,29,14,27,0,0
143520,5882.03,3,21,32,0,0
431208,3505.423259498695,4,5,55,0,0
422843,4127.451406852353,6,11,40,0,0
294114,4807.6,7,7,22,0,0
49054,7905.75,15,22,53,0,0
397314,9823.858344779426,19,14,13,0,0
310898,6604.54338256136,15,11,28,0,0
266644,2759.88,8,19,13,0,3
403886,5152.089033180846,20,9,55,2,0
290880,1046.3,9,3,48,0,0
315024,5982.9008752170475,17,19,24,1,0
83811,8501.61,16,19,38,0,0
402573,6337.490576340689,6,8,29,0,0
185888,2223.33,6,22,19,0,0
56935,9239.43,1,9,1,0,0
345050,4880.2429660420075,23,18,56,0,0
295723,2642.68,6,5,36,0,0
353869,7755.437301347688,21,15,0,0,0
127723,1357.61,5,22,50,0,0
161869,4989.7,30,11,25,2,0
433341,7369.633006206684,27,16,13,0,0
217318,2492.68,22,10,57,0,0
364621,3726.387987773375,17,17,57,0,0
445211,4705.459679378415,6,10,18,0,0
120127,1164.03,24,13,13,0,0
312523,7464.3488482328785,12,8,8,0,0
344745,7406.5654338356135,9,19,20,0,3
56115,4665.82,10,5,50,0,0
140926,5686.23,14,10,15,0,0
336811,4868.907971355528,2,13,53,0,0
190917,7059.98,22,10,57,0,0
196524,1971.0,9,22,40,0,0
386224,2093.456746597215,25,12,26,0,0
255134,3584.95,14,9,55,3,0
173878,1475.63,5,23,33,0,0
247721,6178.73,3,11,10,0,0
261994,4836.02,6,5,27,0,0
227273,4075.89,26,3,18,4,0
283573,9297.68,3,15,1,0,0
62199,9691.96,15,13,50,0,0
161283,6489.58,29,8,1,0,0
35577,3295.82,23,5,54,0,0
138479,4488.5,26,13,50,0,0
98474,6165.06,26,10,9,0,0
269106,3543.04,26,7,39,0,0
356624,7075.2476465644395,27,10,37,0,0
26535,6947.7,12,3,58,0,0
300536,6001.824814835065,14,6,37,0,0
161542,9206.78,26,10,20,0,0
448045,8484.313158767016,14,20,39,0,0
356901,6975.327303551683,29,8,28,0,0
201822,455.31,17,0,57,0,0
283488,8836.47,13,8,56,4,0
49144,4055.79,3,12,35,0,0
26910,5334.72,12,13,36,0,0
322186,1772.822104384369,19,21,14,0,0
443863,9994.172359510409,1,6,39,0,0
48919,5358.49,14,0,13,0,0
271287,8257.91,20,21,36,0,2
344295,10068.298882469733,26,2,18,0,0
242824,3506.98,16,7,46,0,0
322510,6759.583168286571,9,12,7,0,0
69402,1950.61,26,18,29,0,0
250142,5063.74,25,7,39,0,0
443006,7672.743037616647,18,14,52,0,0
174424,2668.69,15,5,0,0,0
36103,5077.56,11,12,25,2,0
118095,4314.39,10,14,48,0,0
20063,3578.14,4,22,13,0,0
237681,2416.92,4,17,34,1,0
244631,6308.55,11,9,1,0,0
336699,2290.4393328528236,8,8,36,0,0
109760,3206.13,1,12,6,0,0
211018,3399.98,6,9,41,0,0
166867,9623.61,9,7,37,0,1
308895,2634.6806606376313,6,7,24,0,0
295056,5512.71,21,23,23,0,0
107652,3180.08,17,14,11,0,0
341865,1084.118687862749,28,17,59,0,2
306111,8364.892042252732,19,2,36,0,1
129795,10228.48,30,21,7,0,4
145708,8109.98,7,22,23,0,0
110730,10083.12,3,17,34,0,2
169972,2108.84,8,9,23,0,0
413995,4955.927474208935,16,22,54,0,0
186080,7549.01,17,2,36,0,0
272318,1283.51,23,3,14,0,0
451512,3082.3054722954244,20,8,51,0,0
28378,9004.52,8,4,21,0,1
357510,8061.195803082314,3,21,44,0,2
215574,3804.33,1,6,19,0,0
21458,8630.46,30,6,24,0,0
225028,6452.98,12,9,45,1,0
374142,1833.0845226686133,10,22,19,0,0
52953,263.85,1,12,32,4,0
183739,1870.86,19,15,58,0,0
317197,7289.2863345596315,16,12,27,0,0
258765,7860.79,3,18,33,0,0
363010,5285.345638353656,11,2,40,0,0
157643,552.16,13,0,38,0,0
378241,1772.7121227327668,19,20,16,0,0
158335,6236.95,5,17,37,0,0
190786,2546.25,8,8,3,0,0
400005,2462.460072654594,6,22,2,0,0
303605,6260.9703197402505,21,3,47,0,0
185700,7071.24,3,2,9,0,0
231059,9318.0,18,12,37,0,0
190350,10196.4,1,1,24,0,0
216026,9905.12,20,4,37,0,0
330670,4198.389970974219,21,21,39,0,0
256008,7444.24,6,10,44,0,0
9392,7827.16,21,14,8,0,0
23437,4060.99,10,21,16,0,0
30922,2906.52,8,23,20,0,0
295768,5022.44,5,6,2,0,0
120016,6903.05,7,18,21,0,0
46503,7433.55,4,23,5,0,0
210348,2464.33,6,1,52,0,0
85833,6585.27,25,2,24,0,0
273116,9148.75,11,21,34,0,0
428182,2190.1661940983113,6,14,52,0,0
260201,1872.57,16,4,8,0,0
147915,9602.69,28,7,50,4,4
342148,6126.574427826773,13,1,9,0,0
287159,1859.61,25,18,53,2,1
308420,8635.509238692193,21,0,1,0,3
70017,7639.29,23,2,36,0,0
8047,3748.32,2,18,34,0,0
280635,2008.8,6,13,44,0,0
33102,8846.51,6,16,3,0,0
65865,3848.48,30,3,26,0,0
135163,2872.79,28,19,31,0,1
236261,3028.08,10,14,41,0,0
200017,4901.25,13,20,31,0,0
41148,3441.68,17,9,40,0,0
207233,1867.67,23,18,42,0,0
40643,8439.98,23,11,52,0,0
172370,1164.42,29,5,35,0,0
169861,8550.61,4,23,35,1,0
303734,7037.2201375719815,15,1,28,0,0
430975,6426.711915646947,2,6,8,0,0
1386,9185.06,4,18,23,0,0
183357,4804.36,10,18,51,0,0
317857,2968.2054367574788,16,7,7,0,0
370523,9009.951147963282,2,13,44,0,0
135868,4718.01,12,11,40,3,0
194220,1507.49,28,20,38,0,0
87651,7842.42,6,21,11,0,0
68877,6639.85,20,0,13,0,0
217066,1975.49,19,23,14,0,0
174628,1557.36,29,1,38,0,0
183763,2681.86,2,20,18,0,0
919,9252.32,5,17,35,0,0
431198,2402.561993417016,7,21,55,0,0
352134,690.8348812318168,7,2,40,0,0
78862,9304.94,17,20,18,0,0
105890,4994.54,1,8,59,0,0
291728,4206.45,26,2,56,0,0
91961,3566.83,3,8,48,0,0
98773,4453.85,12,19,35,0,0
22600,5928.19,2,16,25,0,0
64577,6664.66,30,14,53,0,0
126663,6019.22,21,9,50,0,0
74121,6426.78,1,13,49,0,0
49818,1122.78,7,0,9,2,4
339155,3747.7427124748056,18,18,11,0,0
295913,3396.87,21,15,0,0,0
170802,2779.3,6,14,58,0,0
150759,4900.23,12,11,3,0,0
214312,2862.18,17,0,42,0,1
187573,7677.52,26,8,55,0,0
201768,1412.91,14,3,56,0,0
264322,4582.79,4,17,8,0,0
213211,3478.62,26,19,24,0,0
356148,4178.759418294261,11,20,22,0,0
416397,6169.684460882516,30,10,51,3,0
18149,8492.86,5,7,49,0,0
331644,4470.770940652745,14,20,42,0,0
359413,4648.328163131827,13,19,14,0,0
73939,6493.97,2,8,39,0,0
382453,200.45028554427208,14,19,10,0,0
447958,153.18758045055975,26,20,23,0,0
283062,9564.88,22,7,49,0,0
350692,9683.351701044427,4,6,19,0,0
286789,1506.1,8,2,28,0,0
267677,5426.84,30,7,37,2,0
279085,5146.51,3,22,25,0,0
223680,6990.14,2,8,42,0,0
272485,472.38,13,0,12,0,0
430240,4388.2903395021995,11,3,8,0,0
419746,4407.921160304987,4,4,57,0,0
141830,9402.81,2,6,48,0,0
172625,238.43,6,15,20,0,0
208944,8492.01,2,17,24,0,0
349295,2153.1055567336743,19,22,54,0,0
353298,5617.364827298713,7,9,44,0,0
62530,6998.21,23,20,37,0,0
416561,7418.716898194388,10,5,15,0,0
103209,6714.03,20,2,26,0,0
233367,6377.82,11,16,38,0,0
216227,6043.75,20,21,5,0,0
447375,9621.741178629349,23,5,33,0,0
214961,6624.62,13,8,25,0,0
424609,2294.786390269347,21,1,49,0,0
443079,8269.067019147433,20,8,58,0,3
424820,8868.029448058669,6,9,24,0,0
405532,5562.815031209415,13,13,40,0,0
88689,3342.3,20,19,47,1,0
279121,3888.9,31,22,52,0,0
232754,5716.8,26,23,35,0,0
272098,9473.21,29,0,56,0,0
311844,7408.917943026218,6,6,32,0,0
416476,912.7611921084666,28,7,21,0,0
121179,607.55,17,15,14,0,0
340223,5493.389335587957,5,15,50,0,0
426925,6020.473997073698,27,21,40,0,0
9923,175.75,22,6,47,0,0
132727,855.81,28,8,58,0,0
181193,981.75,24,3,39,0,0
175587,8110.98,28,4,15,0,0
445567,7017.787935806412,1,15,13,0,0
87871,9119.73,8,0,58,0,0
438635,7926.596360368224,12,15,41,0,0
213141,8525.88,9,2,7,0,0
382242,8768.315550990745,13,3,20,0,0
79959,1450.78,18,2,59,0,0
214268,9275.44,1,3,12,0,0
159684,4571.53,6,17,13,0,0
335858,6039.997941105433,5,11,47,0,0
363642,3013.673828701841,22,12,28,3,0
296928,1280.45,8,2,0,0,0
155079,6343.3,17,0,56,0,0
383673,105.41760243522495,4,11,42,0,0
94753,8475.44,20,10,55,0,0
24395,1212.62,28,10,3,0,0
381069,5662.556800393105,13,1,40,0,0
328281,9289.590159432924,3,5,55,0,0
128442,3319.74,20,15,40,0,0
318904,3087.8041377785335,7,2,48,0,0
213204,2164.79,5,22,21,0,0
161081,988.87,8,6,16,0,0
214695,8495.17,15,20,13,0,0
422388,4753.685377716851,16,11,2,0,0
147699,4808.52,7,9,17,4,0
227288,1907.92,29,3,54,0,0
205476,787.71,6,3,55,0,0
167718,5546.87,29,18,46,0,0
63768,5475.94,1,8,40,0,0
53687,7818.59,10,9,9,0,0
453739,10378.188536548942,19,15,49,0,0
234465,2373.36,16,19,17,3,0
37697,523.53,12,1,11,0,0
271464,8795.0,6,11,4,0,2
186714,674.09,6,0,53,0,0
196920,9735.88,8,17,54,0,0
427666,6836.839145722534,8,15,7,0,0
361487,2374.6051304764756,14,11,19,0,0
315146,4016.9987180899775,7,3,36,0,0
316754,2469.208113205617,13,4,2,0,0
15545,9026.68,20,10,44,0,0
110058,6329.5,29,1,16,0,0
237430,7886.54,12,9,14,0,0
344540,8656.643158717718,6,4,45,0,0
419666,6558.778449394507,24,17,10,0,0
243271,797.28,28,19,13,0,0
165351,3301.37,1,14,35,3,4
100468,5317.5,6,4,56,0,0
