,Status
155100,0
244973,1
123424,0
456768,0
234828,0
179929,1
377397,0
96828,0
430523,0
163994,1
283136,1
446970,0
390910,0
157335,1
95825,1
233445,1
214795,1
137551,1
216517,1
109604,1
355709,0
205129,0
419046,0
131974,1
32913,1
18688,1
83374,1
259905,1
45828,0
144298,1
182631,0
115541,0
445954,0
388946,0
225628,1
192265,1
411821,0
293845,1
417153,0
271764,1
265565,1
73563,0
105162,1
265933,1
179592,1
311663,0
219258,0
51549,1
224255,1
282643,1
222373,1
8693,1
192953,1
7987,0
99348,0
164887,1
146499,1
143685,0
360858,0
460933,0
434368,0
443674,0
302022,0
370467,0
346890,0
54176,1
97003,1
150139,1
154914,0
169014,0
431022,0
302165,0
39341,1
344212,0
228855,1
376270,0
102066,1
339802,0
230596,1
281419,1
343301,0
383669,0
408080,0
220678,0
196994,1
32131,1
238654,0
102106,1
122111,1
416010,0
64335,1
55923,1
353202,0
50902,1
194388,0
397891,0
263409,1
133841,1
374298,0
241118,0
107827,0
78067,1
344316,0
255755,1
289028,1
56004,1
270445,1
269614,1
305024,0
329755,0
265390,1
367933,0
304277,0
376780,0
235581,1
454902,0
377021,0
177679,1
309150,0
99713,0
226727,0
306477,0
165344,1
187099,0
191286,1
286370,1
442580,0
367067,0
51392,1
343099,0
183615,1
150436,1
86087,1
406009,0
276911,0
230449,0
123775,1
440852,0
360414,0
377373,0
24782,1
370163,0
77203,1
303173,0
269294,0
151926,1
149709,0
395863,0
388704,0
324455,0
305936,0
259293,1
403769,0
154856,1
213905,0
193292,0
170368,1
396614,0
159926,1
152950,1
165401,1
163323,1
456164,0
8197,1
409800,0
82147,1
244581,1
42141,1
193413,1
415058,0
98916,1
450870,0
444953,0
317145,0
91346,1
322256,0
71643,1
220089,0
48603,0
46316,1
262747,1
376528,0
349483,0
166700,1
307759,0
358451,0
99173,0
298442,1
392525,0
448303,0
405975,0
254530,1
246269,1
58876,1
328147,0
300470,0
347085,0
319580,0
281109,1
407963,0
135164,1
38898,1
120593,0
76180,0
214905,0
257852,1
112973,1
293279,1
134587,1
141166,0
359078,0
75059,1
308151,0
378389,0
60703,0
146410,1
378192,0
204766,1
319908,0
30875,1
137588,0
14513,1
64326,1
309760,0
350978,0
72812,0
236982,1
298781,1
123916,0
151156,0
31231,1
391410,0
415795,0
394125,0
21423,0
139063,0
169556,0
355037,0
450373,0
68431,1
36591,0
192639,1
255171,1
278514,1
178923,1
88610,1
207691,1
292730,1
434314,0
308566,0
164161,1
356927,0
213724,0
37403,1
62094,1
165950,1
36123,1
438196,0
37042,1
125798,1
53521,1
38542,1
196301,0
52312,1
43490,1
165442,1
71661,1
115546,1
84899,1
224690,1
2004,1
18010,1
178829,1
296323,0
302602,0
60226,1
343556,0
233223,1
49251,1
174242,0
190974,1
335515,0
57608,0
200923,1
405394,0
234685,0
212390,1
108285,1
58785,1
139170,1
222052,1
217494,1
185894,1
101142,1
20271,1
105879,1
323698,0
254397,1
174265,0
315897,0
201932,0
192187,1
230136,0
67254,1
287933,1
409249,0
110713,1
390456,0
283577,0
136049,0
262687,1
87943,1
457594,0
12937,1
26192,1
55632,1
51534,1
216951,0
85903,0
144109,1
183588,1
101130,1
134276,1
207962,1
416578,0
159755,1
453951,0
111406,1
304550,0
387918,0
23682,1
31196,1
263896,1
2693,0
341181,0
3517,1
384027,0
197710,1
451259,0
388187,0
161868,1
248002,1
182891,1
400312,0
435833,0
301432,0
267555,0
129685,1
449756,0
410844,0
122783,1
173725,1
57257,1
407261,0
76844,0
235471,1
280812,1
59412,1
176776,1
396805,0
397269,0
206243,0
369551,0
94521,0
321252,0
336862,0
430270,0
76147,1
347566,0
269654,0
167050,1
9493,1
347969,0
176763,1
258897,1
301967,0
346076,0
274084,1
30715,1
104917,1
13418,1
82256,1
332270,0
270370,1
31249,1
261533,1
198806,1
246483,1
212325,1
53214,1
23855,1
337132,0
124002,1
67416,0
342816,0
3514,1
331591,0
200693,1
197104,1
458064,0
136590,1
177504,1
320607,0
271236,1
43302,1
339487,0
305716,0
366519,0
214331,1
101237,0
182382,1
329299,0
198836,0
3789,1
407247,0
142125,1
177416,0
343627,0
285300,0
90499,1
62183,1
29446,0
203953,1
184335,0
179419,1
345659,0
314602,0
328521,0
20617,1
403221,0
389825,0
266381,0
283375,1
161287,0
378672,0
327650,0
220955,1
339815,0
66006,1
447729,0
289118,1
402524,0
185821,1
4935,1
95979,1
397004,0
206865,1
93109,0
447234,0
6069,1
297387,1
444614,0
189052,1
102201,1
316711,0
89863,0
177072,1
103333,1
161006,1
234187,0
227236,1
74621,1
83664,1
91024,0
372475,0
104183,1
210726,1
456058,0
105352,1
408511,0
261989,0
214989,1
6863,1
389522,0
303446,0
105638,0
338535,0
218368,1
154588,1
6311,1
367996,0
114199,1
236215,0
172220,1
401441,0
211178,1
277601,1
453537,0
334149,0
51814,1
242821,0
213841,1
279362,1
23189,1
151974,1
9219,1
290098,1
18895,1
48613,1
412491,0
156165,1
347370,0
251700,0
404333,0
395217,0
69281,1
423737,0
270818,0
100617,1
76992,0
145162,0
379174,0
260616,1
272872,1
341681,0
189875,0
323056,0
408573,0
39236,1
401358,0
378528,0
16345,1
269466,1
205551,1
187577,1
156328,1
35359,1
176371,1
32480,1
76114,1
283309,0
239118,1
381366,0
321033,0
429005,0
35078,1
152424,1
96829,1
412848,0
221457,1
226855,1
446485,0
90399,1
190097,1
73330,1
124913,0
41416,1
194414,1
13780,1
37398,1
320896,0
157031,1
317823,0
173375,1
241426,1
243967,0
249499,0
277277,0
135026,1
62509,1
191974,1
295298,1
58908,1
190009,1
72403,1
103994,1
127549,1
167235,0
446117,0
86429,1
433790,0
267560,0
213558,1
415588,0
88331,1
287363,1
329305,0
210833,1
305871,0
460101,0
451442,0
64581,1
409236,0
317763,0
328259,0
164415,0
28045,1
180636,1
386753,0
334380,0
419758,0
250183,1
140703,1
156808,1
323045,0
75368,1
397157,0
41592,1
23056,0
182255,1
116127,1
431441,0
38337,1
331417,0
2518,1
292315,0
104558,1
37961,1
382852,0
318908,0
56156,1
374094,0
218244,1
430615,0
27740,1
369092,0
393009,0
27853,0
295862,1
337517,0
149230,1
260589,1
114293,0
233554,1
425157,0
360270,0
184539,1
403166,0
160301,0
370984,0
279462,1
383819,0
61365,1
60416,0
191797,1
173364,1
35147,1
122728,1
398009,0
74345,1
210594,0
92315,1
86211,1
244565,0
139829,1
184744,1
70108,1
221265,1
269247,1
38629,0
349801,0
53312,1
116529,0
371560,0
437935,0
57335,1
339513,0
335116,0
133060,0
98735,0
218377,1
441089,0
211756,1
339248,0
285910,0
145840,0
4879,1
77858,1
272983,1
53018,0
313187,0
173194,1
76616,1
193651,1
189127,1
139962,1
9863,1
82338,1
133343,0
290077,1
154484,0
134388,1
367679,0
293150,1
240021,1
300457,0
8259,0
188303,1
456773,0
194170,1
31578,1
371040,0
125,1
375721,0
357886,0
313268,0
61968,1
129960,0
430636,0
241011,0
65914,1
211649,1
209203,1
257469,1
109168,1
419717,0
437110,0
386445,0
205221,1
327289,0
280750,0
106545,1
96349,0
229768,1
245001,0
420127,0
23339,1
174383,1
81382,1
22074,1
36215,1
299121,1
230791,0
402662,0
29903,1
410685,0
163,1
1882,1
132654,0
460184,0
4733,1
366439,0
169879,0
348993,0
38471,1
141557,1
399888,0
126268,1
275708,1
403731,0
265087,1
451364,0
309789,0
342432,0
167155,0
119521,1
342430,0
356350,0
424634,0
447085,0
383515,0
444139,0
195338,0
13076,0
294509,0
381950,0
42757,0
12204,1
369062,0
272555,1
146261,0
125682,0
160448,1
30865,0
355785,0
101480,1
356055,0
384587,0
86434,0
449206,0
406303,0
419591,0
343716,0
113481,1
100435,0
202145,1
385596,0
102377,1
25681,1
135228,1
10585,1
347330,0
368696,0
118136,1
202748,1
347732,0
2932,0
204288,1
237866,0
418934,0
47992,1
274465,1
306622,0
70782,1
340720,0
318668,0
120278,1
369135,0
77130,1
13304,1
442321,0
254225,0
55709,1
337414,0
317046,0
38711,1
205419,0
132786,0
233852,1
113378,1
210734,1
79446,0
408007,0
173193,1
421611,0
237781,1
434495,0
265439,1
425546,0
235159,1
86189,1
331366,0
363510,0
322124,0
133125,1
252370,1
86579,0
267615,0
7905,1
442489,0
202983,1
343493,0
358763,0
14937,1
201931,0
322936,0
267473,1
239685,1
448773,0
72267,1
77140,1
57809,1
180073,1
17865,1
112036,0
279323,1
376998,0
17641,1
48888,1
115945,1
115339,0
179361,1
277593,0
139652,0
286139,0
384967,0
257060,1
402263,0
387375,0
461702,0
174906,1
317666,0
120819,1
376931,0
241565,1
267464,1
71700,1
23968,1
253230,1
367353,0
271954,0
452933,0
414551,0
135726,1
130727,1
95716,1
140936,1
8674,1
180430,1
16296,0
223128,1
47206,1
35627,1
395517,0
392071,0
323015,0
88733,1
7314,1
252745,1
372798,0
389426,0
241072,1
269650,1
178560,1
436152,0
118019,1
300498,0
298535,1
318396,0
290191,1
347934,0
215246,1
403904,0
231773,1
51775,1
188945,1
450345,0
62287,1
305015,0
48506,1
424405,0
339291,0
28175,1
451020,0
382958,0
213083,1
121781,1
268394,1
424032,0
352345,0
147652,1
102242,1
99369,1
156647,1
304425,0
354844,0
374968,0
261280,0
96669,1
350749,0
417114,0
104571,0
201283,0
186944,1
319299,0
390273,0
387689,0
8894,1
47587,1
26258,0
36439,1
233318,1
315744,0
197787,1
67798,1
129017,1
71249,1
219296,1
319206,0
344353,0
393750,0
211929,1
76095,1
365261,0
66763,1
210502,1
246267,1
261617,1
86624,1
81352,1
434767,0
174903,1
400043,0
374291,0
372440,0
421918,0
57479,1
5691,1
107948,0
453282,0
330356,0
288595,0
259826,1
157908,1
15354,1
235019,1
76203,1
258795,0
70506,1
189524,1
432618,0
376257,0
142475,1
218187,1
345675,0
14051,1
33328,1
446646,0
123998,0
284695,1
395298,0
398756,0
426916,0
435981,0
228879,1
32308,1
176583,1
247801,1
63767,1
36384,1
83905,1
40915,1
316202,0
229308,1
39876,0
433129,0
259739,1
350506,0
16068,1
136023,1
78310,1
184146,1
358493,0
453365,0
200176,1
276161,1
294131,1
454135,0
117085,1
317440,0
263643,1
211014,1
288113,1
15687,0
118479,1
101918,1
82966,1
9741,1
342267,0
151916,0
325428,0
315225,0
405122,0
298312,1
218397,1
337525,0
339332,0
442247,0
343494,0
43822,1
7303,1
267353,0
188583,0
123984,1
51089,1
174292,1
293147,1
430167,0
24658,1
392681,0
378573,0
101143,1
403463,0
85918,1
159713,1
25000,1
15580,0
416533,0
32574,0
329823,0
141143,0
224424,1
230199,1
438509,0
314304,0
279295,1
57063,1
422113,0
316833,0
136324,1
321146,0
168568,1
424739,0
104436,0
9093,1
4175,1
385788,0
420048,0
23328,1
343516,0
217778,0
206090,1
150351,0
134628,1
283019,0
367221,0
275771,0
335095,0
87500,1
210007,1
341246,0
335420,0
280467,1
164327,1
375650,0
149866,0
339531,0
162006,1
215124,1
166485,1
159354,1
328417,0
272127,1
424632,0
138901,1
66235,0
445837,0
229030,1
119456,0
383446,0
421515,0
460612,0
163169,1
63257,0
461238,0
456580,0
239414,1
169032,1
113665,1
406947,0
12656,1
323950,0
342360,0
223767,1
48377,0
428195,0
26380,1
153182,0
22593,1
171605,0
90324,1
349688,0
9452,0
78704,0
224522,0
300508,0
280460,0
453407,0
196326,1
327697,0
347314,0
277248,1
325399,0
167633,1
416440,0
359947,0
294501,1
288328,1
116722,1
441145,0
167747,1
275109,1
229830,1
298768,1
319535,0
173339,0
304243,0
412585,0
45204,1
295744,1
130236,1
346745,0
180870,1
374825,0
158308,1
7044,0
200119,1
307027,0
441813,0
19272,0
214157,0
353040,0
115912,1
450222,0
328614,0
264271,1
77261,1
63963,1
124112,1
291056,0
137156,1
314844,0
107238,1
33461,1
173794,0
294557,1
357419,0
458847,0
81669,1
23508,1
273175,1
388041,0
376383,0
305986,0
215489,1
85818,1
205412,0
406001,0
97979,0
432423,0
32224,1
387095,0
419240,0
145701,1
382839,0
362162,0
326797,0
165484,1
225014,1
357252,0
23654,0
24379,0
185792,1
52033,1
425479,0
153391,1
111278,1
39923,1
317282,0
441406,0
368610,0
147020,0
322648,0
96149,1
196829,1
378919,0
100801,1
431692,0
302996,0
311089,0
35307,1
277126,0
178092,0
413652,0
55283,1
154626,1
28244,1
217369,1
216596,0
114361,1
390089,0
66868,1
208286,0
251944,1
244411,1
93103,1
255446,1
243203,1
318686,0
424825,0
302480,0
67477,1
449157,0
445116,0
95034,1
239020,1
218193,1
340248,0
281907,1
374689,0
343223,0
427764,0
41636,1
80290,0
234453,0
453478,0
36071,1
211914,1
361841,0
306667,0
189757,1
436521,0
236051,1
17065,1
398526,0
334579,0
55880,1
233861,1
413740,0
48986,1
307815,0
458678,0
287211,0
310548,0
401975,0
35920,1
236661,1
41467,1
126986,1
189675,1
367576,0
348827,0
459656,0
390819,0
70361,1
372407,0
334563,0
204092,1
391576,0
101802,0
398109,0
444274,0
10155,1
355761,0
201673,1
132050,1
35947,1
253645,1
212235,1
71068,1
115242,1
347489,0
341103,0
287179,1
298510,1
372486,0
23590,1
7782,1
403362,0
309385,0
387007,0
370631,0
159571,1
218915,0
315988,0
231129,1
283754,1
60476,1
308451,0
266915,1
17760,1
426164,0
343302,0
416140,0
156774,0
94212,1
279851,1
253095,1
48469,1
294066,1
341397,0
180742,1
9993,1
303738,0
319029,0
450651,0
362122,0
208930,0
167256,0
287749,1
110737,1
98801,1
45145,1
380421,0
201704,1
360413,0
294834,1
331394,0
255818,0
309720,0
125134,1
296270,1
10025,1
322552,0
79494,1
457024,0
225870,1
367542,0
120445,1
263105,1
226562,1
385602,0
183922,1
137962,1
59413,1
435386,0
22505,0
276424,1
78836,0
255275,1
93294,1
19107,0
171046,1
73888,1
1651,0
457915,0
209815,1
80968,1
253339,1
267913,1
142093,0
132314,0
418085,0
241632,1
54223,1
259523,1
60837,1
222837,1
358683,0
281369,1
333238,0
14911,1
49339,0
403536,0
370403,0
263987,0
405088,0
238250,1
114155,1
53375,1
259977,1
394141,0
399205,0
123595,1
176507,0
574,1
339712,0
214519,0
238713,1
400515,0
315664,0
27336,1
115038,1
160603,1
300333,0
46170,1
72531,1
295482,1
404297,0
424060,0
338449,0
59110,1
244389,1
202770,1
415969,0
396781,0
291277,1
306905,0
372278,0
27592,1
133729,1
268836,1
343043,0
294559,1
149793,1
100105,1
309130,0
120887,1
347543,0
364775,0
11357,1
118143,1
283785,0
155283,1
60132,0
352325,0
70511,0
201835,1
57138,1
293657,1
89236,1
82231,1
87608,1
85441,1
187283,1
140492,1
117968,1
311604,0
385485,0
235759,1
59449,1
308800,0
337616,0
200367,1
420666,0
352647,0
442678,0
5493,0
21918,1
95035,1
439282,0
65901,1
347584,0
390829,0
209855,0
138409,0
402160,0
361323,0
236150,0
76140,1
336964,0
326869,0
218980,1
461358,0
27308,1
254163,1
375051,0
80389,1
207826,1
361549,0
5096,1
85892,1
306191,0
433776,0
170694,1
192517,1
7620,1
346573,0
151620,1
192278,0
104672,0
220598,0
364550,0
331866,0
22530,1
94539,1
131424,0
441784,0
224517,1
453451,0
351545,0
399232,0
82313,1
138558,1
125296,0
127251,1
79115,0
289166,1
413843,0
3434,0
165249,1
26317,1
11898,1
20269,0
317807,0
381421,0
254309,1
262941,0
72864,1
359920,0
402706,0
271183,0
274447,1
285104,1
75623,1
238152,1
101117,1
292103,1
479,1
221547,0
75935,1
274354,1
90068,1
4583,1
272142,1
16776,1
157167,1
194153,1
214358,0
390917,0
406225,0
80362,0
178573,1
223947,1
254739,1
367830,0
355086,0
328965,0
133881,0
236157,1
2362,1
345622,0
307492,0
304368,0
440094,0
217056,1
112947,1
428015,0
14581,1
205740,1
267888,1
346554,0
342617,0
131767,0
370832,0
346956,0
249991,1
129728,1
28367,1
146187,1
323114,0
128301,0
385053,0
369212,0
252194,1
435016,0
436502,0
130865,1
202408,1
380308,0
95557,1
243623,1
136501,1
161697,1
113617,0
257857,1
147325,0
414594,0
290421,1
26653,1
214671,1
58249,1
418621,0
76913,0
231978,1
174033,1
435947,0
401248,0
7494,1
357496,0
11220,1
441808,0
243944,1
112360,1
454210,0
292249,1
180501,1
147941,1
205942,0
133829,1
247521,1
370786,0
382752,0
105283,1
25206,1
92375,1
354226,0
208460,0
124982,1
14224,0
44594,1
223580,0
167045,1
11801,1
311419,0
224857,1
404440,0
337158,0
133429,1
21825,0
29375,1
237356,1
267734,0
177434,1
261814,1
103979,1
380226,0
367963,0
234200,1
98019,1
446450,0
40751,1
142149,1
394224,0
198100,1
57409,1
311228,0
211436,1
259659,1
329993,0
257091,1
40479,1
214110,1
220015,1
248939,0
110640,1
272827,1
435759,0
276294,1
163031,0
340546,0
47091,1
109089,0
108432,1
163967,1
44864,1
246665,1
144134,1
19713,1
97131,1
358693,0
339766,0
14529,1
374889,0
105095,1
12479,1
265430,0
381989,0
450163,0
168313,0
2750,1
445057,0
190666,1
128551,1
126761,0
370718,0
303264,0
229312,1
331719,0
47613,1
246710,0
78933,1
372164,0
421078,0
414782,0
287721,0
54184,1
239077,1
151263,1
319596,0
26833,1
216569,1
64560,1
356758,0
312037,0
385608,0
94266,1
310037,0
10860,1
217401,1
189946,1
31126,0
91983,1
430844,0
164602,1
372585,0
226070,1
390681,0
392148,0
26129,1
342783,0
376148,0
333495,0
215476,1
222803,1
402623,0
208561,1
330317,0
49657,1
433531,0
436515,0
365032,0
394168,0
147585,0
358467,0
352207,0
188860,1
118034,1
139112,1
310461,0
301864,0
125530,1
396291,0
211935,1
174807,1
64396,1
76347,1
255746,1
212582,1
419323,0
34300,1
261765,1
213529,1
259124,1
95213,1
344711,0
203221,1
228556,0
152405,1
191674,0
251303,0
332972,0
308034,0
68921,1
328943,0
91292,0
353211,0
133636,1
195147,1
76595,1
34364,1
357853,0
96744,1
377921,0
343874,0
153785,0
304215,0
418275,0
23149,1
197101,1
256633,1
248067,0
74063,1
324092,0
391424,0
263701,1
229343,1
353082,0
168907,1
58938,1
338885,0
236425,0
290638,1
185628,1
251386,1
110319,0
136177,1
267451,1
286653,1
270764,0
24408,1
333037,0
227637,1
273324,1
382863,0
30800,1
17616,0
431676,0
411898,0
352877,0
131882,1
428702,0
284279,1
192018,1
394584,0
302871,0
95130,0
77020,0
315593,0
97017,1
32944,1
446254,0
64664,0
416770,0
390748,0
414860,0
433027,0
59955,0
119335,1
374922,0
165258,0
197109,0
117460,1
254164,1
205343,1
4168,1
397421,0
324049,0
252942,0
155717,1
218436,1
59267,0
185060,0
240792,1
52650,1
161564,1
313069,0
398104,0
167899,1
252709,0
87402,0
179875,1
382307,0
135926,1
439142,0
75079,1
138294,1
303564,0
382903,0
269529,1
378791,0
6634,1
40367,0
216373,1
142866,1
117009,1
106520,1
233746,1
373020,0
159365,1
296242,1
275978,0
130958,0
112568,0
219077,0
99521,1
113459,1
77388,1
72374,1
387084,0
190809,1
288720,1
250171,1
124328,1
450609,0
168518,0
32484,1
374485,0
41779,0
95467,0
350838,0
319182,0
55486,1
203554,1
241035,0
34484,0
116577,1
339561,0
334824,0
371693,0
273542,1
348844,0
196638,0
390449,0
450229,0
135943,1
25740,1
355394,0
272964,1
170155,0
210005,1
453831,0
105568,1
312164,0
55375,1
16268,1
106805,1
409268,0
151031,1
231944,1
388356,0
76539,1
435983,0
199326,1
114814,1
9549,1
394045,0
169058,1
194817,1
368489,0
423078,0
125554,1
30874,1
277518,1
164382,0
352259,0
102661,1
416009,0
389175,0
271644,1
153077,1
273893,1
176101,1
148264,1
149627,0
287342,1
401586,0
249187,0
147568,0
87732,0
229736,1
422380,0
374215,0
332758,0
400840,0
291143,1
353347,0
338677,0
203480,1
100006,0
234861,1
122282,0
447866,0
53622,1
452936,0
153510,1
307356,0
318288,0
15128,1
215963,1
300997,0
56977,1
165987,0
428417,0
179422,0
413204,0
437055,0
165192,0
97994,1
81190,1
217988,1
85208,0
406100,0
439487,0
399598,0
133487,0
435467,0
225725,1
324045,0
331013,0
233970,1
92472,0
296288,1
402111,0
434285,0
443549,0
159564,0
261937,1
263711,1
22497,0
249431,1
435854,0
31895,1
86476,0
211277,0
55843,1
185593,1
210797,1
32390,1
140172,0
450085,0
155659,1
130910,1
154461,1
245793,1
95315,1
445175,0
45681,1
49442,1
344893,0
171218,1
141365,0
24811,1
457895,0
230232,1
124470,1
261784,0
238319,1
118344,0
182846,1
385983,0
450446,0
369301,0
231666,1
255291,0
77623,1
244934,1
16523,0
282148,1
320325,0
16320,1
103530,1
342169,0
261678,1
43746,1
298359,0
122756,1
329686,0
215211,1
49548,1
133515,1
40725,1
206201,0
408462,0
103100,0
85886,1
382111,0
229378,1
430968,0
449904,0
389101,0
213179,0
378334,0
282162,0
116948,0
443532,0
279708,1
157598,1
37959,0
345734,0
239514,1
169178,1
1357,1
214851,1
407844,0
37965,1
151302,1
318596,0
135633,0
196496,0
404351,0
300140,0
391313,0
425661,0
212426,1
259495,1
441403,0
309913,0
56053,0
334045,0
53368,1
361735,0
254102,1
431666,0
29063,0
417949,0
135967,1
3785,0
834,0
60428,1
234895,1
453600,0
190333,1
231233,0
322148,0
123827,0
211714,1
188375,1
285503,1
274718,0
298252,1
110146,0
313234,0
425202,0
351308,0
64454,1
456221,0
121926,1
336305,0
98420,0
342387,0
162337,1
132003,1
123089,1
457355,0
83733,1
432810,0
26254,0
248613,1
363877,0
392718,0
438064,0
236874,1
383162,0
453256,0
161064,0
336553,0
86618,1
191253,1
116745,0
398410,0
168874,1
395597,0
269130,1
434916,0
232299,1
404784,0
47950,1
111268,1
378865,0
267063,1
428225,0
121593,1
349180,0
206867,1
417406,0
193621,0
258610,1
373139,0
62143,1
288308,1
65376,1
433125,0
207324,1
216558,1
332397,0
352253,0
11676,1
240935,0
246245,0
175471,1
428185,0
162595,0
279246,1
416475,0
264586,1
193532,1
110566,0
227330,1
222874,1
204612,1
62825,1
231238,1
461093,0
440876,0
355535,0
328821,0
23790,1
231078,1
229745,1
429769,0
93084,1
323983,0
119538,1
370989,0
387662,0
47299,0
211477,1
277788,1
137632,1
219417,1
297245,1
342906,0
59033,1
57442,1
277539,0
278262,1
191942,1
447976,0
374225,0
407319,0
360420,0
275472,1
216628,1
422391,0
149163,1
239624,1
422901,0
342633,0
413167,0
313199,0
412672,0
448971,0
384998,0
568,0
227992,0
257145,1
415462,0
338687,0
405365,0
19167,1
327790,0
390557,0
423774,0
383204,0
334328,0
337559,0
279932,1
47021,1
396662,0
457753,0
160836,1
296963,1
243406,1
119468,0
393223,0
384209,0
306340,0
92027,0
443760,0
92374,1
144188,1
385052,0
313530,0
100795,1
219020,1
96750,0
291766,1
139174,1
357085,0
435662,0
109820,1
267858,1
392306,0
127667,0
69960,0
330150,0
131782,1
314668,0
223651,1
373357,0
327518,0
35895,1
160794,1
72682,0
210237,1
34116,1
19072,0
39491,1
164805,1
38623,1
365379,0
61598,1
348494,0
122428,1
364651,0
109601,1
42455,1
96928,0
57153,1
232869,1
86144,1
432855,0
94868,1
449019,0
307256,0
58233,1
324668,0
356370,0
419332,0
213196,1
59400,1
205833,1
457210,0
376139,0
183336,1
110524,0
206286,1
161863,1
400139,0
70165,1
134696,0
362276,0
286760,1
412429,0
276327,1
240734,0
16808,1
330346,0
881,1
172789,1
373571,0
435293,0
545,1
263534,1
230617,1
131627,1
157782,1
374566,0
328600,0
148553,1
223632,1
424580,0
460576,0
404383,0
359456,0
247145,0
387622,0
431895,0
7761,0
84160,1
292327,1
389214,0
164800,1
11248,1
214550,1
198239,1
147857,1
8972,0
214579,1
450459,0
322870,0
210249,1
84932,0
10228,1
252978,1
165035,1
66735,1
347768,0
143948,1
207585,1
361564,0
288718,1
319530,0
34878,1
35701,0
153702,1
413472,0
89765,0
311925,0
139740,0
58993,1
458330,0
453160,0
299613,1
97198,1
165598,1
22957,1
358287,0
221246,1
388269,0
48425,1
193603,1
36518,1
76814,1
75975,1
22133,0
14787,1
385524,0
44419,0
370730,0
58189,1
333861,0
261969,1
61936,1
396097,0
89208,0
138957,0
68860,1
224575,1
135377,0
71072,1
209971,1
180109,0
460683,0
76257,1
